@relation allinone

@attribute 'Time (Hour)' numeric
@attribute virulence numeric
@attribute 'patient precondition' numeric
@attribute 'Viral Load' numeric
@attribute 'Inflamatory (M1) Alveolar Macrophages' numeric
@attribute IL6 numeric
@attribute 'Active Adaptive Immune System' numeric
@attribute 'Immunosupressed (M2) Alveolar macrophages' numeric
@attribute 'Resting Alveolar Macrophages' numeric
@attribute 'Delayed IL6' numeric
@attribute 'Un-Infected Lung Tissue' numeric
@attribute 'Infected Lung Tissue' numeric
@attribute 'Destroyed Lung Tissue' numeric
@attribute 'Interferon Strength' numeric
@attribute PAMPs numeric
@attribute 'Resting Adaptive Immune System' numeric
@attribute TcellInterferon numeric

@data
34,1,0,3.71806,0.003355,0.000301,8.44289,13.0154,4999.98,0.000256,14797,81.08,168.44,2866.81,62.7226,0.988996,0.265711
35,1,0,3.87335,0.003665,0.000329,8.4007,13.0171,4999.98,0.000232,14770.6,84.3205,175.292,3028.97,66.1271,0.988975,0.271497
36,1,0,4.03485,0.004003,0.000359,8.35872,13.0189,4999.98,0.000229,14742.5,87.6743,182.394,3197.61,69.6698,0.98895,0.277183
37,1,0,4.20277,0.004372,0.000392,8.31696,13.0209,4999.97,0.000239,14712.5,91.1438,189.752,3372.96,73.3563,0.988923,0.28277
38,1,0,4.37734,0.004774,0.000428,8.2754,13.0231,4999.97,0.000255,14680.7,94.7313,197.374,3555.24,77.1923,0.988891,0.288259
39,1,0,4.55878,0.005211,0.000468,8.23406,13.0255,4999.97,0.000277,14646.9,98.4388,205.265,3744.71,81.1836,0.988854,0.293652
40,1,0,4.74733,0.005687,0.00051,8.19293,13.0281,4999.97,0.000301,14611.1,102.269,213.431,3941.58,85.3365,0.988811,0.298949
41,1,0,4.9432,0.006204,0.000557,8.15202,13.0309,4999.96,0.000329,14573.2,106.222,221.879,4146.12,89.6571,0.988763,0.304153
42,1,0,5.14664,0.006765,0.000608,8.11131,13.034,4999.96,0.000359,14533.2,110.301,230.614,4358.57,94.1521,0.988707,0.309263
43,1,0,5.35789,0.007376,0.000663,8.07082,13.0374,4999.96,0.000392,14491,114.508,239.642,4579.17,98.8279,0.988644,0.314282
