@relation allinone

@attribute 'Time (Hour)' numeric
@attribute virulence numeric
@attribute 'patient precondition' numeric
@attribute 'Viral Load' numeric
@attribute 'Inflamatory (M1) Alveolar Macrophages' numeric
@attribute IL6 numeric
@attribute 'Active Adaptive Immune System' numeric
@attribute 'Immunosupressed (M2) Alveolar macrophages' numeric
@attribute 'Resting Alveolar Macrophages' numeric
@attribute 'Delayed IL6' numeric
@attribute 'Un-Infected Lung Tissue' numeric
@attribute 'Infected Lung Tissue' numeric
@attribute 'Destroyed Lung Tissue' numeric
@attribute 'Interferon Strength' numeric
@attribute PAMPs numeric
@attribute 'Resting Adaptive Immune System' numeric
@attribute TcellInterferon numeric

@data
242,1,1,0.262487,41.686,4.17403,879.086,45.0993,4926.21,4.19944,1514.85,0.633864,2.30272,65446.2,2481.7,-1100.75,33.6883
243,1,1,0.244061,41.6424,4.16969,885.036,45.1833,4926.17,4.1953,1525.11,0.593551,2.15911,65447.5,2469.56,-1111.1,34.2305
244,1,1,0.226895,41.5987,4.16533,890.895,45.2674,4926.13,4.19112,1535.41,0.555706,2.02406,65448.7,2457.45,-1121.38,34.7733
245,1,1,0.210904,41.5549,4.16096,896.663,45.3518,4926.09,4.18689,1545.76,0.520184,1.8971,65449.8,2445.39,-1131.61,35.3164
246,1,1,0.196013,41.511,4.15658,902.341,45.4363,4926.05,4.18263,1556.15,0.486852,1.77778,65450.8,2433.38,-1141.77,35.8599
247,1,1,0.182147,41.4671,4.1522,907.931,45.521,4926.01,4.17834,1566.58,0.455582,1.66565,65451.8,2421.4,-1151.87,36.4037
248,1,1,0.169239,41.4232,4.14781,913.432,45.6058,4925.97,4.17403,1577.05,0.426251,1.56031,65452.7,2409.48,-1161.91,36.9476
249,1,1,0.157225,41.3793,4.14342,918.846,45.6909,4925.93,4.16969,1587.57,0.398745,1.46137,65453.6,2397.6,-1171.89,37.4915
250,1,1,0.146045,41.3355,4.13903,924.172,45.7761,4925.89,4.16533,1598.12,0.372957,1.36847,65454.4,2385.77,-1181.81,38.0355
251,1,1,0.135642,41.2917,4.13464,929.413,45.8615,4925.85,4.16096,1608.71,0.348784,1.28125,65455.1,2373.99,-1191.67,38.5793
252,1,1,0.125966,41.248,4.13026,934.569,45.9471,4925.81,4.15658,1619.34,0.32613,1.1994,65455.8,2362.25,-1201.48,39.1229
253,1,1,0.116965,41.2044,4.12589,939.64,46.0329,4925.76,4.1522,1630.01,0.304903,1.12258,65456.5,2350.57,-1211.22,39.6662
254,1,1,0.108596,41.1609,4.12153,944.627,46.1189,4925.72,4.14781,1640.71,0.285017,1.05052,65457.1,2338.93,-1220.9,40.2092
255,1,1,0.100813,41.1175,4.11718,949.531,46.205,4925.68,4.14342,1651.45,0.266391,0.982922,65457.6,2327.35,-1230.53,40.7518
256,1,1,0.093578,41.0743,4.11284,954.353,46.2914,4925.63,4.13903,1662.23,0.248949,0.919533,65458.2,2315.81,-1240.1,41.2938
257,1,1,0.086854,41.0313,4.10851,959.093,46.378,4925.59,4.13464,1673.04,0.232618,0.860101,65458.7,2304.32,-1249.61,41.8352
258,1,1,0.080604,40.9884,4.10421,963.753,46.4647,4925.55,4.13026,1683.89,0.21733,0.80439,65459.1,2292.89,-1259.07,42.3759
259,1,1,0.074796,40.9458,4.09992,968.332,46.5517,4925.5,4.12589,1694.77,0.203021,0.752177,65459.6,2281.51,-1268.47,42.9159
260,1,1,0.069401,40.9033,4.09564,972.832,46.6388,4925.46,4.12153,1705.69,0.189631,0.703252,65460,2270.17,-1277.81,43.4551
261,1,1,0.064388,40.861,4.09139,977.254,46.7262,4925.41,4.11718,1716.64,0.177103,0.657417,65460.4,2258.89,-1287.09,43.9934
262,1,1,0.059732,40.819,4.08716,981.598,46.8137,4925.37,4.11284,1727.62,0.165383,0.614485,65460.7,2247.66,-1296.32,44.5307
263,1,1,0.055408,40.7771,4.08295,985.864,46.9015,4925.32,4.10851,1738.64,0.154421,0.574279,65461,2236.48,-1305.5,45.067
264,1,1,0.051392,40.7355,4.07876,990.055,46.9894,4925.27,4.10421,1749.69,0.144169,0.536634,65461.4,2225.36,-1314.62,45.6022
265,1,1,0.047664,40.6942,4.0746,994.17,47.0775,4925.23,4.09992,1760.78,0.134584,0.501392,65461.6,2214.28,-1323.68,46.1362
266,1,1,0.044203,40.6531,4.07045,998.21,47.1659,4925.18,4.09564,1771.9,0.125623,0.468405,65461.9,2203.26,-1332.69,46.669
267,1,1,0.040989,40.6122,4.06634,1002.18,47.2544,4925.13,4.09139,1783.05,0.117246,0.437536,65462.2,2192.28,-1341.65,47.2005
268,1,1,0.038007,40.5716,4.06224,1006.07,47.3432,4925.09,4.08716,1794.23,0.109417,0.408651,65462.4,2181.36,-1350.55,47.7307
269,1,1,0.035239,40.5313,4.05818,1009.89,47.4321,4925.04,4.08295,1805.45,0.102101,0.38163,65462.6,2170.5,-1359.41,48.2595
270,1,1,0.032671,40.4912,4.05414,1013.64,47.5212,4924.99,4.07876,1816.69,0.095265,0.356354,65462.8,2159.68,-1368.2,48.7868
271,1,1,0.030287,40.4514,4.05012,1017.31,47.6106,4924.94,4.0746,1827.97,0.088878,0.332715,65463,2148.91,-1376.95,49.3125
272,1,1,0.028076,40.4118,4.04613,1020.92,47.7001,4924.89,4.07045,1839.29,0.082913,0.310611,65463.2,2138.2,-1385.64,49.8367
273,1,1,0.026025,40.3725,4.04217,1024.45,47.7898,4924.84,4.06634,1850.63,0.077341,0.289945,65463.4,2127.54,-1394.28,50.3593
274,1,1,0.024122,40.3335,4.03824,1027.92,47.8797,4924.79,4.06224,1862,0.072137,0.270627,65463.5,2116.92,-1402.87,50.8801
275,1,1,0.022357,40.2948,4.03433,1031.32,47.9699,4924.74,4.05818,1873.41,0.067279,0.25257,65463.6,2106.36,-1411.41,51.3993
276,1,1,0.02072,40.2564,4.03045,1034.65,48.0602,4924.68,4.05414,1884.85,0.062742,0.235695,65463.8,2095.85,-1419.9,51.9166
277,1,1,0.019202,40.2182,4.0266,1037.92,48.1507,4924.63,4.05012,1896.32,0.058507,0.219927,65463.9,2085.4,-1428.33,52.4321
278,1,1,0.017795,40.1804,4.02278,1041.11,48.2414,4924.58,4.04613,1907.82,0.054554,0.205196,65464,2074.99,-1436.72,52.9457
279,1,1,0.016489,40.1428,4.01898,1044.24,48.3323,4924.52,4.04217,1919.35,0.050865,0.191434,65464.1,2064.63,-1445.06,53.4573
280,1,1,0.015279,40.1055,4.01522,1047.31,48.4234,4924.47,4.03824,1930.92,0.047422,0.178579,65464.2,2054.32,-1453.35,53.967
281,1,1,0.014157,40.0685,4.01148,1050.31,48.5147,4924.42,4.03433,1942.51,0.044209,0.166574,65464.3,2044.07,-1461.58,54.4746
282,1,1,0.013117,40.0317,4.00777,1053.25,48.6062,4924.36,4.03045,1954.14,0.041211,0.155364,65464.4,2033.86,-1469.77,54.9802
283,1,1,0.012153,39.9953,4.00409,1056.13,48.6979,4924.31,4.0266,1965.79,0.038414,0.144896,65464.5,2023.71,-1477.92,55.4836
284,1,1,0.01126,39.9592,4.00044,1058.94,48.7898,4924.25,4.02278,1977.48,0.035805,0.135124,65464.6,2013.6,-1486.01,55.9849
285,1,1,0.010431,39.9233,3.99682,1061.69,48.8819,4924.19,4.01898,1989.2,0.033371,0.126002,65464.7,2003.54,-1494.06,56.484
286,1,1,0.009664,39.8877,3.99323,1064.38,48.9741,4924.14,4.01522,2000.95,0.031101,0.117487,65464.7,1993.53,-1502.06,56.9809
287,1,1,0.008953,39.8525,3.98967,1067.01,49.0666,4924.08,4.01148,2012.74,0.028984,0.10954,65464.8,1983.58,-1510.01,57.4755
288,1,1,0.008293,39.8175,3.98613,1069.58,49.1592,4924.02,4.00777,2024.55,0.02701,0.102124,65464.8,1973.67,-1517.91,57.9677
289,1,1,0.007683,39.7828,3.98262,1072.09,49.2521,4923.97,4.00409,2036.4,0.025169,0.095204,65464.9,1963.81,-1525.77,58.4576
290,1,1,0.007117,39.7484,3.97915,1074.55,49.3451,4923.91,4.00044,2048.27,0.023453,0.088748,65464.9,1954,-1533.58,58.9451
291,1,1,0.006592,39.7142,3.9757,1076.94,49.4383,4923.85,3.99682,2060.18,0.021852,0.082724,65465,1944.23,-1541.35,59.4302
292,1,1,0.006106,39.6804,3.97228,1079.28,49.5317,4923.79,3.99323,2072.12,0.02036,0.077106,65465,1934.52,-1549.07,59.9129
293,1,1,0.005656,39.6468,3.96889,1081.56,49.6253,4923.73,3.98967,2084.09,0.01897,0.071865,65465.1,1924.85,-1556.75,60.393
294,1,1,0.005239,39.6136,3.96553,1083.78,49.7191,4923.67,3.98613,2096.09,0.017673,0.066976,65465.1,1915.23,-1564.38,60.8706
295,1,1,0.004853,39.5806,3.96219,1085.95,49.813,4923.61,3.98262,2108.12,0.016465,0.062418,65465.1,1905.66,-1571.97,61.3457
296,1,1,0.004495,39.5479,3.95889,1088.06,49.9072,4923.54,3.97915,2120.18,0.015339,0.058167,65465.2,1896.14,-1579.51,61.8182
297,1,1,0.004163,39.5155,3.95561,1090.12,50.0015,4923.48,3.9757,2132.28,0.014289,0.054203,65465.2,1886.66,-1587.01,62.2881
298,1,1,0.003856,39.4833,3.95236,1092.12,50.096,4923.42,3.97228,2144.4,0.013311,0.050507,65465.2,1877.23,-1594.46,62.7553
299,1,1,0.003572,39.4515,3.94914,1094.08,50.1907,4923.36,3.96889,2156.56,0.0124,0.047061,65465.3,1867.85,-1601.88,63.2199
300,1,1,0.003308,39.4199,3.94595,1095.97,50.2856,4923.29,3.96553,2168.75,0.011551,0.043849,65465.3,1858.52,-1609.24,63.6818
301,1,1,0.003064,39.3886,3.94278,1097.82,50.3806,4923.23,3.96219,2180.97,0.010759,0.040855,65465.3,1849.23,-1616.57,64.1409
302,1,1,0.002838,39.3576,3.93964,1099.62,50.4759,4923.17,3.95889,2193.23,0.010022,0.038063,65465.3,1839.98,-1623.85,64.5973
303,1,1,0.002629,39.3268,3.93653,1101.36,50.5713,4923.1,3.95561,2205.51,0.009335,0.035462,65465.4,1830.79,-1631.1,65.051
304,1,1,0.002435,39.2963,3.93345,1103.05,50.6668,4923.04,3.95236,2217.83,0.008695,0.033037,65465.4,1821.64,-1638.3,65.5018
305,1,1,0.002256,39.2661,3.9304,1104.7,50.7626,4922.97,3.94914,2230.17,0.008099,0.030777,65465.4,1812.53,-1645.45,65.9499
306,1,1,0.002089,39.2362,3.92737,1106.29,50.8585,4922.91,3.94595,2242.55,0.007544,0.028671,65465.4,1803.47,-1652.57,66.3951
307,1,1,0.001935,39.2065,3.92437,1107.83,50.9546,4922.84,3.94278,2254.96,0.007026,0.026709,65465.4,1794.45,-1659.65,66.8374
308,1,1,0.001793,39.1771,3.92139,1109.33,51.0509,4922.77,3.93964,2267.41,0.006545,0.02488,65465.4,1785.48,-1666.68,67.2769
309,1,1,0.001661,39.1479,3.91845,1110.78,51.1474,4922.7,3.93653,2279.88,0.006096,0.023177,65465.4,1776.56,-1673.68,67.7134
310,1,1,0.001538,39.1191,3.91552,1112.18,51.244,4922.64,3.93345,2292.39,0.005678,0.021589,65465.5,1767.68,-1680.63,68.1471
311,1,1,0.001425,39.0904,3.91263,1113.53,51.3408,4922.57,3.9304,2304.93,0.005288,0.02011,65465.5,1758.84,-1687.55,68.5778
312,1,1,0.00132,39.0621,3.90976,1114.84,51.4378,4922.5,3.92737,2317.5,0.004926,0.018732,65465.5,1750.05,-1694.42,69.0055
313,1,1,0.001223,39.034,3.90692,1116.1,51.5349,4922.43,3.92437,2330.1,0.004588,0.017448,65465.5,1741.3,-1701.26,69.4303
314,1,1,0.001133,39.0061,3.9041,1117.32,51.6322,4922.36,3.92139,2342.73,0.004273,0.016253,65465.5,1732.59,-1708.06,69.8521
315,1,1,0.00105,38.9785,3.90131,1118.49,51.7297,4922.29,3.91845,2355.4,0.00398,0.015139,65465.5,1723.93,-1714.81,70.2709
316,1,1,0.000972,38.9512,3.89855,1119.62,51.8273,4922.22,3.91552,2368.1,0.003707,0.014101,65465.5,1715.31,-1721.53,70.6867
317,1,1,0.000901,38.9241,3.8958,1120.7,51.9251,4922.15,3.91263,2380.83,0.003453,0.013134,65465.5,1706.74,-1728.22,71.0994
318,1,1,0.000835,38.8973,3.89309,1121.74,52.023,4922.08,3.90976,2393.6,0.003216,0.012234,65465.5,1698.2,-1734.86,71.5091
319,1,1,0.000773,38.8707,3.8904,1122.74,52.1212,4922.01,3.90692,2406.39,0.002996,0.011395,65465.5,1689.71,-1741.46,71.9158
320,1,1,0.000717,38.8443,3.88773,1123.69,52.2195,4921.94,3.9041,2419.22,0.00279,0.010614,65465.5,1681.27,-1748.03,72.3194
321,1,1,0.000664,38.8182,3.88509,1124.6,52.3179,4921.86,3.90131,2432.09,0.0026,0.009887,65465.6,1672.86,-1754.56,72.7199
322,1,1,0.000615,38.7923,3.88247,1125.48,52.4165,4921.79,3.89855,2444.98,0.00242,0.009209,65465.6,1664.5,-1761.06,73.1173
323,1,1,0.00057,38.7667,3.87988,1126.3,52.5153,4921.72,3.8958,2457.91,0.00226,0.008578,65465.6,1656.18,-1767.51,73.5116
324,1,1,0.000528,38.7413,3.87731,1127.09,52.6142,4921.64,3.89309,2470.87,0.0021,0.00799,65465.6,1647.89,-1773.93,73.9028
325,1,1,0.00049,38.7161,3.87477,1127.84,52.7133,4921.57,3.8904,2483.86,0.00196,0.007443,65465.6,1639.66,-1780.32,74.2908
326,1,1,0.000454,38.6912,3.87224,1128.55,52.8125,4921.5,3.88773,2496.89,0.00182,0.006933,65465.6,1631.46,-1786.67,74.6758
327,1,1,0.000421,38.6665,3.86974,1129.22,52.9119,4921.42,3.88509,2509.95,0.0017,0.006458,65465.6,1623.3,-1792.98,75.0576
328,1,1,0.00039,38.642,3.86727,1129.85,53.0114,4921.35,3.88247,2523.04,0.00158,0.006016,65465.6,1615.19,-1799.26,75.4362
329,1,1,0.000361,38.6178,3.86482,1130.44,53.1111,4921.27,3.87988,2536.16,0.00147,0.005604,65465.6,1607.11,-1805.5,75.8117
330,1,1,0.000335,38.5937,3.86238,1131,53.2109,4921.2,3.87731,2549.32,0.00137,0.005221,65465.6,1599.07,-1811.7,76.184
331,1,1,0.000311,38.5699,3.85998,1131.51,53.3109,4921.12,3.87477,2562.51,0.00128,0.004864,65465.6,1591.08,-1817.87,76.5532
332,1,1,0.000288,38.5464,3.85759,1131.99,53.4111,4921.04,3.87224,2575.73,0.00119,0.004531,65465.6,1583.12,-1824.01,76.9192
333,1,1,0.000267,38.523,3.85523,1132.44,53.5114,4920.97,3.86974,2588.99,0.00111,0.004221,65465.6,1575.21,-1830.11,77.282
334,1,1,0.000247,38.4998,3.85288,1132.84,53.6118,4920.89,3.86727,2602.28,0.00104,0.003933,65465.6,1567.33,-1836.18,77.6416
335,1,1,0.000229,38.4769,3.85056,1133.21,53.7124,4920.81,3.86482,2615.61,0.000965,0.003664,65465.6,1559.5,-1842.22,77.998
336,1,1,0.000213,38.4542,3.84826,1133.55,53.8131,4920.73,3.86238,2628.96,0.000899,0.00341,65465.6,1551.7,-1848.22,78.3512
337,1,1,0.000197,38.4316,3.84599,1133.85,53.914,4920.65,3.85998,2642.36,0.000838,0.00318,65465.6,1543.94,-1854.18,78.7013
338,1,1,0.000183,38.4093,3.84373,1134.11,54.015,4920.58,3.85759,2655.78,0.000781,0.00296,65465.6,1536.22,-1860.12,79.0481
339,1,1,0.00017,38.3872,3.84149,1134.34,54.1162,4920.5,3.85523,2669.24,0.000728,0.00276,65465.6,1528.54,-1866.02,79.3917
340,1,1,0.000157,38.3653,3.83928,1134.54,54.2175,4920.42,3.85288,2682.73,0.000679,0.00257,65465.6,1520.9,-1871.89,79.7322
341,1,1,0.000146,38.3436,3.83708,1134.7,54.3189,4920.34,3.85056,2696.26,0.000633,0.0024,65465.6,1513.29,-1877.72,80.0694
342,1,1,0.000135,38.3221,3.8349,1134.83,54.4205,4920.26,3.84826,2709.82,0.00059,0.00223,65465.6,1505.73,-1883.52,80.4034
343,1,1,0.000126,38.3008,3.83275,1134.92,54.5222,4920.18,3.84599,2723.41,0.00055,0.00208,65465.6,1498.2,-1889.29,80.7342
344,1,1,0.000117,38.2796,3.83061,1134.99,54.6241,4920.1,3.84373,2737.04,0.000512,0.00194,65465.6,1490.71,-1895.03,81.0618
345,1,1,0.000108,38.2587,3.82849,1135.02,54.7261,4920.02,3.84149,2750.7,0.000478,0.00181,65465.6,1483.25,-1900.74,81.3861
346,1,1,0.0001,38.238,3.8264,1135.02,54.8282,4919.93,3.83928,2764.4,0.000445,0.00169,65465.6,1475.84,-1906.41,81.7073
347,1,1,0.000093,38.2174,3.82432,1134.99,54.9305,4919.85,3.83708,2778.13,0.000415,0.00157,65465.6,1468.46,-1912.06,82.0252
348,1,1,0.000086,38.197,3.82226,1134.92,55.0329,4919.77,3.8349,2791.89,0.000387,0.00146,65465.6,1461.12,-1917.67,82.34
349,1,1,0.00008,38.1768,3.82021,1134.83,55.1354,4919.69,3.83275,2805.69,0.000361,0.00137,65465.6,1453.81,-1923.25,82.6515
350,1,1,0.000074,38.1568,3.81819,1134.71,55.2381,4919.6,3.83061,2819.52,0.000337,0.00127,65465.6,1446.54,-1928.8,82.9598
351,1,1,0.000069,38.137,3.81618,1134.55,55.3409,4919.52,3.82849,2833.39,0.000314,0.00119,65465.6,1439.31,-1934.32,83.2649
352,1,1,0.000064,38.1173,3.81419,1134.37,55.4438,4919.44,3.8264,2847.29,0.000293,0.00111,65465.6,1432.11,-1939.81,83.5668
353,1,1,0.00006,38.0978,3.81222,1134.15,55.5469,4919.36,3.82432,2861.22,0.000273,0.00103,65465.6,1424.95,-1945.27,83.8655
354,1,1,0.000055,38.0785,3.81027,1133.91,55.6501,4919.27,3.82226,2875.19,0.000255,0.000962,65465.6,1417.83,-1950.7,84.161
355,1,1,0.000051,38.0593,3.80833,1133.64,55.7534,4919.19,3.82021,2889.2,0.000238,0.000897,65465.6,1410.74,-1956.09,84.4533
356,1,1,0.000048,38.0404,3.80641,1133.34,55.8568,4919.1,3.81819,2903.24,0.000222,0.000837,65465.6,1403.69,-1961.46,84.7424
357,1,1,0.000044,38.0215,3.80451,1133.02,55.9604,4919.02,3.81618,2917.31,0.000207,0.00078,65465.6,1396.67,-1966.8,85.0283
358,1,1,0.000041,38.0029,3.80262,1132.66,56.0641,4918.93,3.81419,2931.42,0.000193,0.000728,65465.6,1389.68,-1972.11,85.3111
359,1,1,0.000038,37.9844,3.80075,1132.28,56.1679,4918.85,3.81222,2945.57,0.00018,0.000679,65465.6,1382.74,-1977.39,85.5906
360,1,1,0.000035,37.966,3.7989,1131.87,56.2719,4918.76,3.81027,2959.75,0.000168,0.000633,65465.6,1375.82,-1982.65,85.867
361,1,1,0.000033,37.9478,3.79706,1131.43,56.3759,4918.68,3.80833,2973.96,0.000157,0.00059,65465.6,1368.94,-1987.87,86.1402
362,1,1,0.000031,37.9298,3.79524,1130.97,56.4801,4918.59,3.80641,2988.21,0.000146,0.000551,65465.6,1362.1,-1993.06,86.4102
363,1,1,0.000028,37.9119,3.79343,1130.48,56.5844,4918.5,3.80451,3002.49,0.000137,0.000514,65465.6,1355.29,-1998.23,86.6771
364,1,1,0.000026,37.8941,3.79164,1129.97,56.6889,4918.42,3.80262,3016.81,0.000128,0.000479,65465.6,1348.51,-2003.37,86.9408
365,1,1,0.000024,37.8765,3.78986,1129.43,56.7934,4918.33,3.80075,3031.17,0.000119,0.000447,65465.6,1341.77,-2008.48,87.2014
366,1,1,0.000023,37.8591,3.78809,1128.86,56.8981,4918.24,3.7989,3045.56,0.000111,0.000417,65465.6,1335.06,-2013.56,87.4588
367,1,1,0.000021,37.8417,3.78634,1128.27,57.0029,4918.16,3.79706,3059.98,0.000104,0.00039,65465.6,1328.38,-2018.62,87.7131
368,1,1,0.00002,37.8245,3.78461,1127.66,57.1078,4918.07,3.79524,3074.44,0.000097,0.000364,65465.6,1321.74,-2023.64,87.9642
369,1,1,0.000018,37.8075,3.78288,1127.02,57.2128,4917.98,3.79343,3088.94,0.000091,0.000339,65465.6,1315.13,-2028.64,88.2122
370,1,1,0.000017,37.7906,3.78118,1126.36,57.3179,4917.89,3.79164,3103.47,0.000084,0.000317,65465.6,1308.56,-2033.61,88.4571
371,1,1,0.000016,37.7738,3.77948,1125.67,57.4231,4917.8,3.78986,3118.04,0.000079,0.000296,65465.6,1302.02,-2038.56,88.6989
372,1,1,0.000015,37.7571,3.7778,1124.96,57.5285,4917.71,3.78809,3132.64,0.000074,0.000276,65465.6,1295.51,-2043.48,88.9376
373,1,1,0.000014,37.7406,3.77613,1124.23,57.634,4917.63,3.78634,3147.28,0.000069,0.000258,65465.6,1289.03,-2048.37,89.1732
374,1,1,0.000013,37.7242,3.77447,1123.47,57.7396,4917.54,3.78461,3161.95,0.000064,0.000241,65465.6,1282.58,-2053.23,89.4057
375,1,1,0.000012,37.7079,3.77283,1122.69,57.8453,4917.45,3.78288,3176.66,0.00006,0.000225,65465.6,1276.17,-2058.07,89.6351
376,1,1,0.000011,37.6917,3.7712,1121.89,57.9511,4917.36,3.78118,3191.41,0.000056,0.00021,65465.6,1269.79,-2062.88,89.8614
377,1,1,0.00001,37.6757,3.76958,1121.07,58.057,4917.27,3.77948,3206.19,0.000053,0.000196,65465.6,1263.44,-2067.67,90.0847
378,1,1,0.00001,37.6597,3.76797,1120.22,58.163,4917.18,3.7778,3221.01,0.000049,0.000183,65465.6,1257.12,-2072.43,90.3049
379,1,1,0.000009,37.6439,3.76637,1119.36,58.2691,4917.09,3.77613,3235.86,0.000046,0.000171,65465.6,1250.84,-2077.17,90.5221
380,1,1,0.000008,37.6282,3.76478,1118.47,58.3754,4917,3.77447,3250.75,0.000043,0.00016,65465.6,1244.58,-2081.87,90.7362
381,1,1,0.000008,37.6125,3.76321,1117.56,58.4817,4916.91,3.77283,3265.68,0.00004,0.000149,65465.6,1238.36,-2086.56,90.9473
382,1,1,0.000007,37.597,3.76165,1116.63,58.5882,4916.81,3.7712,3280.64,0.000037,0.000139,65465.6,1232.17,-2091.21,91.1554
383,1,1,0.000007,37.5816,3.76009,1115.68,58.6948,4916.72,3.76958,3295.64,0.000035,0.00013,65465.6,1226.01,-2095.85,91.3605
384,1,1,0.000006,37.5663,3.75855,1114.71,58.8014,4916.63,3.76797,3310.67,0.000033,0.000122,65465.6,1219.88,-2100.45,91.5626
385,1,1,0.000006,37.5511,3.75701,1113.72,58.9082,4916.54,3.76637,3325.74,0.000031,0.000114,65465.6,1213.78,-2105.04,91.7617
386,1,1,0.000005,37.536,3.75549,1112.71,59.0151,4916.45,3.76478,3340.85,0.000029,0.000106,65465.6,1207.71,-2109.6,91.9578
387,1,1,0.000005,37.521,3.75398,1111.68,59.1221,4916.36,3.76321,3355.99,0.000027,0.000099,65465.6,1201.67,-2114.13,92.1509
388,1,1,0.000005,37.506,3.75247,1110.63,59.2292,4916.26,3.76165,3371.17,0.000025,0.000093,65465.6,1195.66,-2118.64,92.3411
389,1,1,0.000004,37.4912,3.75098,1109.56,59.3364,4916.17,3.76009,3386.39,0.000023,0.000087,65465.6,1189.68,-2123.12,92.5283
390,1,1,0.000004,37.4764,3.74949,1108.47,59.4437,4916.08,3.75855,3401.64,0.000022,0.000081,65465.6,1183.74,-2127.58,92.7125
391,1,1,0.000004,37.4617,3.74801,1107.36,59.5511,4915.99,3.75701,3416.93,0.000021,0.000076,65465.6,1177.82,-2132.02,92.8939
392,1,1,0.000003,37.4471,3.74654,1106.24,59.6585,4915.89,3.75549,3432.26,0.000019,0.000071,65465.6,1171.93,-2136.43,93.0723
393,1,1,0.000003,37.4326,3.74508,1105.1,59.7661,4915.8,3.75398,3447.63,0.000018,0.000066,65465.6,1166.07,-2140.82,93.2478
394,1,1,0.000003,37.4181,3.74362,1103.94,59.8738,4915.71,3.75247,3463.03,0.000017,0.000062,65465.6,1160.24,-2145.18,93.4204
395,1,1,0.000003,37.4038,3.74218,1102.76,59.9816,4915.61,3.75098,3478.46,0.000016,0.000058,65465.6,1154.44,-2149.53,93.5902
396,1,1,0.000003,37.3895,3.74074,1101.56,60.0895,4915.52,3.74949,3493.94,0.000015,0.000054,65465.6,1148.66,-2153.84,93.757
397,1,1,0.000002,37.3752,3.7393,1100.35,60.1975,4915.43,3.74801,3509.45,0.000014,0.000051,65465.6,1142.92,-2158.14,93.921
398,1,1,0.000002,37.3611,3.73788,1099.12,60.3056,4915.33,3.74654,3525,0.000013,0.000048,65465.6,1137.21,-2162.41,94.0822
399,1,1,0.000002,37.347,3.73646,1097.87,60.4138,4915.24,3.74508,3540.59,0.000012,0.000044,65465.6,1131.52,-2166.66,94.2405
400,1,1,0.000002,37.3329,3.73505,1096.61,60.5221,4915.15,3.74362,3556.21,0.000011,0.000042,65465.6,1125.86,-2170.88,94.3959
401,1,1,0.000002,37.3189,3.73364,1095.33,60.6305,4915.05,3.74218,3571.87,0.000011,0.000039,65465.6,1120.23,-2175.09,94.5486
402,1,1,0.000002,37.305,3.73224,1094.03,60.739,4914.96,3.74074,3587.57,0.00001,0.000036,65465.6,1114.63,-2179.27,94.6984
403,1,1,0.000002,37.2911,3.73085,1092.72,60.8475,4914.86,3.7393,3603.3,0.000009,0.000034,65465.6,1109.06,-2183.43,94.8455
404,1,1,0.000002,37.2773,3.72946,1091.39,60.9562,4914.77,3.73788,3619.08,0.000009,0.000032,65465.6,1103.51,-2187.56,94.9897
405,1,1,0.000001,37.2635,3.72807,1090.05,61.065,4914.67,3.73646,3634.89,0.000008,0.00003,65465.6,1098,-2191.68,95.1312
406,1,1,0.000001,37.2498,3.72669,1088.69,61.1738,4914.58,3.73505,3650.73,0.000008,0.000028,65465.6,1092.51,-2195.77,95.27
407,1,1,0.000001,37.2361,3.72532,1087.32,61.2828,4914.48,3.73364,3666.62,0.000007,0.000026,65465.6,1087.04,-2199.84,95.406
408,1,1,0.000001,37.2224,3.72395,1085.93,61.3918,4914.39,3.73224,3682.54,0.000007,0.000025,65465.6,1081.61,-2203.88,95.5392
409,1,1,0.000001,37.2088,3.72258,1084.52,61.501,4914.29,3.73085,3698.5,0.000006,0.000023,65465.6,1076.2,-2207.91,95.6698
410,1,1,0.000001,37.1953,3.72122,1083.11,61.6102,4914.19,3.72946,3714.5,0.000006,0.000022,65465.6,1070.82,-2211.92,95.7976
411,1,1,0.000001,37.1817,3.71987,1081.67,61.7196,4914.1,3.72807,3730.54,0.000006,0.00002,65465.6,1065.47,-2215.9,95.9227
412,1,1,0.000001,37.1682,3.71851,1080.23,61.829,4914,3.72669,3746.61,0.000005,0.000019,65465.6,1060.14,-2219.86,96.0452
413,1,1,0.000001,37.1547,3.71716,1078.77,61.9385,4913.91,3.72532,3762.73,0.000005,0.000018,65465.6,1054.84,-2223.8,96.1649
414,1,1,0.000001,37.1413,3.71581,1077.29,62.0481,4913.81,3.72395,3778.88,0.000005,0.000017,65465.6,1049.56,-2227.72,96.282
415,1,1,0.000001,37.1279,3.71447,1075.8,62.1578,4913.71,3.72258,3795.07,0.000004,0.000016,65465.6,1044.32,-2231.62,96.3965
416,1,1,0.000001,37.1145,3.71312,1074.3,62.2676,4913.62,3.72122,3811.29,0.000004,0.000015,65465.6,1039.09,-2235.49,96.5084
417,1,1,0.000001,37.1011,3.71178,1072.79,62.3775,4913.52,3.71987,3827.56,0.000004,0.000014,65465.6,1033.9,-2239.35,96.6176
418,1,1,0.000001,37.0877,3.71044,1071.26,62.4875,4913.42,3.71851,3843.86,0.000004,0.000013,65465.6,1028.73,-2243.19,96.7242
419,1,1,0.000001,37.0744,3.70911,1069.72,62.5976,4913.33,3.71716,3860.2,0.000003,0.000012,65465.6,1023.59,-2247,96.8282
